"산업중분류별(1)",산업중분류별(2),2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"산업중분류별(1)",산업중분류별(2),계,6개월 미만,6개월~1년 미만,1~2년 미만,2~3년 미만,3~4년 미만,4~5년 미만,5~10년 미만,10년 이상,분류불능,계,6개월 미만,6개월~1년 미만,1~2년 미만,2~3년 미만,3~4년 미만,4~5년 미만,5~10년 미만,10년 이상,분류불능,계,6개월 미만,6개월~1년 미만,1~2년 미만,2~3년 미만,3~4년 미만,4~5년 미만,5~10년 미만,10년 이상,분류불능,계,6개월 미만,6개월~1년 미만,1~2년 미만,2~3년 미만,3~4년 미만,4~5년 미만,5~10년 미만,10년 이상,분류불능,계,6개월 미만,6개월~1년 미만,1~2년 미만,2~3년 미만,3~4년 미만,4~5년 미만,5~10년 미만,10년 이상,분류불능
"어업",어업 양식어업 및 어업관련서비스업,59,28,3,12,4,4,2,5,1,0,66,30,8,9,3,3,1,6,6,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"어업",어업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60,35,11,7,3,2,1,1,0,0,48,26,2,10,2,5,0,2,1,0,74,35,7,10,11,2,2,5,2,0
"농업",소계,555,332,55,47,26,26,15,31,21,2,648,380,63,61,42,24,17,40,21,0,642,385,66,60,40,27,15,24,25,0,639,351,68,66,39,28,21,48,18,0,668,397,64,54,53,34,18,24,24,0
"농업",농업,555,332,55,47,26,26,15,31,21,2,648,380,63,61,42,24,17,40,21,0,642,385,66,60,40,27,15,24,25,0,639,351,68,66,39,28,21,48,18,0,668,397,64,54,53,34,18,24,24,0
"금융 및 보험업",소계,312,30,19,29,10,12,12,60,140,0,358,50,21,20,22,14,17,75,139,0,400,61,31,42,26,13,21,63,142,1,341,51,19,35,21,21,15,52,126,1,408,82,31,41,37,13,8,53,143,0
"금융 및 보험업",금융 및 보험업,312,30,19,29,10,12,12,60,140,0,358,50,21,20,22,14,17,75,139,0,400,61,31,42,26,13,21,63,142,1,341,51,19,35,21,21,15,52,126,1,408,82,31,41,37,13,8,53,143,0
"기타의 사업",소계,30595,14098,4434,3921,2029,1364,924,2250,1546,29,37505,16790,5365,5087,2680,1602,1116,2878,1958,29,41811,18107,6022,5791,3018,1945,1317,3240,2365,6,40573,16924,5826,5823,3185,1832,1326,3231,2422,4,45408,18204,6297,6471,3827,2480,1495,3790,2839,5
"기타의 사업",건물 등의 종합관리사업,3617,1258,664,605,314,231,146,292,105,2,4118,1392,682,721,409,239,152,379,143,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"기타의 사업",건물종합관리 위생 및 유사서비스업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5138,1690,786,850,505,333,221,477,276,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"기타의 사업",시설관리및사업지원서비스업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8267,3012,1238,1366,821,454,297,692,386,1,9213,3512,1249,1415,884,619,351,772,410,1
